epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27842.1,0.63247,0.6464,1.04453,0.9792,0.98008,0.98926,0.8013,0.629,0.34149,1.06209,0.00235404,0.00235404,0.00235404
43,29602.2,0.61934,0.62833,1.03676,0.97067,0.96892,0.98848,0.80209,0.62586,0.34549,1.0604,0.00214046,0.00214046,0.00214046
44,31212.5,0.61168,0.62542,1.04168,0.97415,0.95268,0.97927,0.80853,0.61248,0.33084,1.04866,0.00193486,0.00193486,0.00193486
45,520.279,0.59541,0.59364,1.0293,0.95519,0.98495,0.9837,0.80623,0.62058,0.32536,1.05722,0.0017378,0.0017378,0.0017378
46,1179.87,0.5899,0.58514,1.02618,0.96149,0.98369,0.98348,0.80729,0.61309,0.31773,1.04661,0.00154982,0.00154982,0.00154982
47,2031.17,0.59259,0.5731,1.02803,0.9628,0.97621,0.9872,0.80744,0.60861,0.30855,1.04439,0.00137143,0.00137143,0.00137143
48,2912.12,0.58122,0.56879,1.02477,0.96203,0.9804,0.98254,0.80699,0.59732,0.31327,1.03853,0.00120313,0.00120313,0.00120313
49,3787.65,0.56694,0.54183,1.01487,0.95908,0.98918,0.98234,0.80176,0.59929,0.3052,1.04239,0.00104537,0.00104537,0.00104537
50,4666.96,0.55958,0.53519,1.0122,0.95343,0.9886,0.98142,0.8128,0.59927,0.30952,1.03598,0.000898581,0.000898581,0.000898581
51,5314.45,0.48657,0.3049,0.98788,0.95531,0.98487,0.98072,0.8188,0.59261,0.31386,1.02933,0.000763174,0.000763174,0.000763174
52,6164.37,0.47206,0.29094,0.97635,0.95573,0.98238,0.98208,0.8141,0.58352,0.29763,1.02781,0.000639518,0.000639518,0.000639518
53,7431.22,0.46112,0.28063,0.97053,0.95975,0.98134,0.9842,0.81906,0.57823,0.28879,1.02226,0.00052795,0.00052795,0.00052795
54,8840.15,0.45283,0.27172,0.9634,0.96338,0.9879,0.98449,0.82876,0.57734,0.28331,1.02129,0.000428777,0.000428777,0.000428777
55,10168,0.44181,0.25989,0.9561,0.9594,0.97793,0.9849,0.8244,0.57074,0.28062,1.01781,0.00034227,0.00034227,0.00034227
56,11561.3,0.43879,0.25806,0.95751,0.95979,0.99029,0.98447,0.82461,0.57311,0.27545,1.0201,0.000268667,0.000268667,0.000268667
57,13017.3,0.43106,0.25276,0.94937,0.96421,0.98041,0.98439,0.82205,0.57134,0.27736,1.01862,0.000208169,0.000208169,0.000208169
58,14493.5,0.42781,0.25138,0.94844,0.9671,0.98576,0.98492,0.82937,0.56685,0.273,1.0159,0.000160943,0.000160943,0.000160943
59,15863.4,0.42567,0.2494,0.94965,0.96974,0.98579,0.98951,0.83436,0.56901,0.27611,1.01595,0.000127117,0.000127117,0.000127117
60,17182.7,0.42229,0.2459,0.94533,0.97036,0.98156,0.99112,0.83432,0.56829,0.27044,1.01545,0.000106784,0.000106784,0.000106784
